CSS 	Entity
0020	SPACE ( )
0021	EXCLAMATION MARK (!)
0022	QUOTATION MARK (")
0023	NUMBER SIGN (#)
0024	DOLLAR SIGN ($)
0025	PERCENT SIGN (%)
0026	AMPERSAND (&)
0027	APOSTROPHE (')
0028	LEFT PARENTHESIS (()
0029	RIGHT PARENTHESIS ())
002A	ASTERISK (*)
002B	PLUS SIGN (+)
002C	COMMA (,)
002D	HYPHEN-MINUS (-)
002E	FULL STOP (.)
002F	SOLIDUS (/)
0030	DIGIT ZERO (0)
0031	DIGIT ONE (1)
0032	DIGIT TWO (2)
0033	DIGIT THREE (3)
0034	DIGIT FOUR (4)
0035	DIGIT FIVE (5)
0036	DIGIT SIX (6)
0037	DIGIT SEVEN (7)
0038	DIGIT EIGHT (8)
0039	DIGIT NINE (9)
003A	COLON (:)
003B	SEMICOLON (;)
003C	LESS-THAN SIGN (<)
003D	EQUALS SIGN (=)
003E	GREATER-THAN SIGN (>)
003F	QUESTION MARK (?)
0040	COMMERCIAL AT (@)
0041	LATIN CAPITAL LETTER A (A)
0042	LATIN CAPITAL LETTER B (B)
0043	LATIN CAPITAL LETTER C (C)
0044	LATIN CAPITAL LETTER D (D)
0045	LATIN CAPITAL LETTER E (E)
0046	LATIN CAPITAL LETTER F (F)
0047	LATIN CAPITAL LETTER G (G)
0048	LATIN CAPITAL LETTER H (H)
0049	LATIN CAPITAL LETTER I (I)
004A	LATIN CAPITAL LETTER J (J)
004B	LATIN CAPITAL LETTER K (K)
004C	LATIN CAPITAL LETTER L (L)
004D	LATIN CAPITAL LETTER M (M)
004E	LATIN CAPITAL LETTER N (N)
004F	LATIN CAPITAL LETTER O (O)
0050	LATIN CAPITAL LETTER P (P)
0051	LATIN CAPITAL LETTER Q (Q)
0052	LATIN CAPITAL LETTER R (R)
0053	LATIN CAPITAL LETTER S (S)
0054	LATIN CAPITAL LETTER T (T)
0055	LATIN CAPITAL LETTER U (U)
0056	LATIN CAPITAL LETTER V (V)
0057	LATIN CAPITAL LETTER W (W)
0058	LATIN CAPITAL LETTER X (X)
0059	LATIN CAPITAL LETTER Y (Y)
005A	LATIN CAPITAL LETTER Z (Z)
005B	LEFT SQUARE BRACKET ([)
005C	REVERSE SOLIDUS (\)
005D	RIGHT SQUARE BRACKET (])
005E	CIRCUMFLEX ACCENT (^)
005F	LOW LINE (_)
0060	GRAVE ACCENT (`)
0061	LATIN SMALL LETTER A (a)
0062	LATIN SMALL LETTER B (b)
0063	LATIN SMALL LETTER C (c)
0064	LATIN SMALL LETTER D (d)
0065	LATIN SMALL LETTER E (e)
0066	LATIN SMALL LETTER F (f)
0067	LATIN SMALL LETTER G (g)
0068	LATIN SMALL LETTER H (h)
0069	LATIN SMALL LETTER I (i)
006A	LATIN SMALL LETTER J (j)
006B	LATIN SMALL LETTER K (k)
006C	LATIN SMALL LETTER L (l)
006D	LATIN SMALL LETTER M (m)
006E	LATIN SMALL LETTER N (n)
006F	LATIN SMALL LETTER O (o)
0070	LATIN SMALL LETTER P (p)
0071	LATIN SMALL LETTER Q (q)
0072	LATIN SMALL LETTER R (r)
0073	LATIN SMALL LETTER S (s)
0074	LATIN SMALL LETTER T (t)
0075	LATIN SMALL LETTER U (u)
0076	LATIN SMALL LETTER V (v)
0077	LATIN SMALL LETTER W (w)
0078	LATIN SMALL LETTER X (x)
0079	LATIN SMALL LETTER Y (y)
007A	LATIN SMALL LETTER Z (z)
007B	LEFT CURLY BRACKET ({)
007C	VERTICAL LINE (|)
007D	RIGHT CURLY BRACKET (})
007E	TILDE (~)
00A0	NO-BREAK SPACE ( )
00A1	INVERTED EXCLAMATION MARK (¡)
00A2	CENT SIGN (¢)
00A3	POUND SIGN (£)
00A4	CURRENCY SIGN (¤)
00A5	YEN SIGN (¥)
00A6	BROKEN BAR (¦)
00A7	SECTION SIGN (§)
00A8	DIAERESIS (¨)
00A9	COPYRIGHT SIGN (©)
00AA	FEMININE ORDINAL INDICATOR (ª)
00AB	LEFT-POINTING DOUBLE ANGLE QUOTATION MARK («)
00AC	NOT SIGN (¬)
00AD	SOFT HYPHEN (­)
00AE	REGISTERED SIGN (®)
00AF	MACRON (¯)
00B0	DEGREE SIGN (°)
00B1	PLUS-MINUS SIGN (±)
00B2	SUPERSCRIPT TWO (²)
00B3	SUPERSCRIPT THREE (³)
00B4	ACUTE ACCENT (´)
00B5	MICRO SIGN (µ)
00B6	PILCROW SIGN (¶)
00B7	MIDDLE DOT (·)
00B8	CEDILLA (¸)
00B9	SUPERSCRIPT ONE (¹)
00BA	MASCULINE ORDINAL INDICATOR (º)
00BB	RIGHT-POINTING DOUBLE ANGLE QUOTATION MARK (»)
00BC	VULGAR FRACTION ONE QUARTER (¼)
00BD	VULGAR FRACTION ONE HALF (½)
00BE	VULGAR FRACTION THREE QUARTERS (¾)
00BF	INVERTED QUESTION MARK (¿)
00C0	LATIN CAPITAL LETTER A WITH GRAVE (À)
00C1	LATIN CAPITAL LETTER A WITH ACUTE (Á)
00C2	LATIN CAPITAL LETTER A WITH CIRCUMFLEX (Â)
00C3	LATIN CAPITAL LETTER A WITH TILDE (Ã)
00C4	LATIN CAPITAL LETTER A WITH DIAERESIS (Ä)
00C5	LATIN CAPITAL LETTER A WITH RING ABOVE (Å)
00C6	LATIN CAPITAL LETTER AE (Æ)
00C7	LATIN CAPITAL LETTER C WITH CEDILLA (Ç)
00C8	LATIN CAPITAL LETTER E WITH GRAVE (È)
00C9	LATIN CAPITAL LETTER E WITH ACUTE (É)
00CA	LATIN CAPITAL LETTER E WITH CIRCUMFLEX (Ê)
00CB	LATIN CAPITAL LETTER E WITH DIAERESIS (Ë)
00CC	LATIN CAPITAL LETTER I WITH GRAVE (Ì)
00CD	LATIN CAPITAL LETTER I WITH ACUTE (Í)
00CE	LATIN CAPITAL LETTER I WITH CIRCUMFLEX (Î)
00CF	LATIN CAPITAL LETTER I WITH DIAERESIS (Ï)
00D0	LATIN CAPITAL LETTER ETH (Ð)
00D1	LATIN CAPITAL LETTER N WITH TILDE (Ñ)
00D2	LATIN CAPITAL LETTER O WITH GRAVE (Ò)
00D3	LATIN CAPITAL LETTER O WITH ACUTE (Ó)
00D4	LATIN CAPITAL LETTER O WITH CIRCUMFLEX (Ô)
00D5	LATIN CAPITAL LETTER O WITH TILDE (Õ)
00D6	LATIN CAPITAL LETTER O WITH DIAERESIS (Ö)
00D7	MULTIPLICATION SIGN (×)
00D8	LATIN CAPITAL LETTER O WITH STROKE (Ø)
00D9	LATIN CAPITAL LETTER U WITH GRAVE (Ù)
00DA	LATIN CAPITAL LETTER U WITH ACUTE (Ú)
00DB	LATIN CAPITAL LETTER U WITH CIRCUMFLEX (Û)
00DC	LATIN CAPITAL LETTER U WITH DIAERESIS (Ü)
00DD	LATIN CAPITAL LETTER Y WITH ACUTE (Ý)
00DE	LATIN CAPITAL LETTER THORN (Þ)
00DF	LATIN SMALL LETTER SHARP S (ß)
00E0	LATIN SMALL LETTER A WITH GRAVE (à)
00E1	LATIN SMALL LETTER A WITH ACUTE (á)
00E2	LATIN SMALL LETTER A WITH CIRCUMFLEX (â)
00E3	LATIN SMALL LETTER A WITH TILDE (ã)
00E4	LATIN SMALL LETTER A WITH DIAERESIS (ä)
00E5	LATIN SMALL LETTER A WITH RING ABOVE (å)
00E6	LATIN SMALL LETTER AE (æ)
00E7	LATIN SMALL LETTER C WITH CEDILLA (ç)
00E8	LATIN SMALL LETTER E WITH GRAVE (è)
00E9	LATIN SMALL LETTER E WITH ACUTE (é)
00EA	LATIN SMALL LETTER E WITH CIRCUMFLEX (ê)
00EB	LATIN SMALL LETTER E WITH DIAERESIS (ë)
00EC	LATIN SMALL LETTER I WITH GRAVE (ì)
00ED	LATIN SMALL LETTER I WITH ACUTE (í)
00EE	LATIN SMALL LETTER I WITH CIRCUMFLEX (î)
